name,url,remote_testing,adaptive_support,test_type
Jenkins (New),/products/product-catalog/view/jenkins-new/,Yes,No,Knowledge & Skills
Job Control Language (New),/products/product-catalog/view/job-control-language-new/,Yes,No,Knowledge & Skills
jQuery (New),/products/product-catalog/view/jquery-new/,Yes,No,Knowledge & Skills
Kubernetes (New),/products/product-catalog/view/kubernetes-new/,Yes,No,Knowledge & Skills
Linux Administration (New),/products/product-catalog/view/linux-administration-new/,Yes,No,Knowledge & Skills
Linux Operating System,/products/product-catalog/view/linux-operating-system/,Yes,No,Knowledge & Skills
Linux Programming (General),/products/product-catalog/view/linux-programming-general/,Yes,No,Knowledge & Skills
Load Runner (New),/products/product-catalog/view/load-runner-new/,Yes,No,Knowledge & Skills
Management Scenarios,/products/product-catalog/view/management-scenarios/,Yes,No,Biodata & Situational Judgement
Managerial Scenarios Candidate Report,/products/product-catalog/view/managerial-scenarios-candidate-report/,Yes,No,Biodata & Situational Judgement
Managerial Scenarios Narrative Report,/products/product-catalog/view/managerial-scenarios-narrative-report/,Yes,No,Biodata & Situational Judgement
Managerial Scenarios Profile Report,/products/product-catalog/view/managerial-scenarios-profile-report/,Yes,No,Biodata & Situational Judgement
Manual Testing (New),/products/product-catalog/view/manual-testing-new/,Yes,No,Knowledge & Skills
Manufac. & Indust. - Mechanical & Vigilance 8.0,/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,Yes,No,"Ability & Aptitude, Personality & Behavior"
Manufac. & Indust. - Safety & Dependability 8.0,/products/product-catalog/view/safety-and-dependability-focus-8-0/,Yes,No,Personality & Behavior
Manufacturing & Industrial - Essential Focus 8.0,/products/product-catalog/view/essential-focus-8-0/,Yes,No,Personality & Behavior
Manufacturing & Industrial - Mechanical Focus 8.0,/products/product-catalog/view/mechanical-focus-8-0/,Yes,No,"Ability & Aptitude, Personality & Behavior"
Manufacturing & Industrial - Vigilance Focus 8.0,/products/product-catalog/view/vigilance-focus-8-0/,Yes,No,"Ability & Aptitude, Personality & Behavior"
Marketing (New),/products/product-catalog/view/marketing-new/,Yes,No,Knowledge & Skills
Maven (New),/products/product-catalog/view/maven-new/,Yes,No,Knowledge & Skills
Mechanical Engineering (New),/products/product-catalog/view/mechanical-engineering-new/,Yes,No,Knowledge & Skills
Mechatronics Engineering (New),/products/product-catalog/view/mechatronics-engineering-new/,Yes,No,Knowledge & Skills
Medical Terminology (New),/products/product-catalog/view/medical-terminology-new/,Yes,No,Knowledge & Skills
Metallurgical Engineering (New),/products/product-catalog/view/metallurgical-engineering-new/,Yes,No,Knowledge & Skills
MFS 360 Enterprise Leadership Report,/products/product-catalog/view/mfs-360-enterprise-leadership-report/,Yes,No,Development & 360
MFS 360 UCF Group Report,/products/product-catalog/view/mfs-360-ucf-group-report/,Yes,No,Development & 360
MFS 360 UCF Performance Potential Dev Tips Report,/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,Yes,No,Development & 360
MFS 360 UCF Standard Report,/products/product-catalog/view/mfs-360-ucf-standard-report/,Yes,No,Development & 360
Micro Focus Unified Functional Testing (New),/products/product-catalog/view/micro-focus-unified-functional-testing-new/,Yes,No,Knowledge & Skills
Microservices (New),/products/product-catalog/view/microservices-new/,Yes,No,Knowledge & Skills
Microsoft Dynamics Development (New),/products/product-catalog/view/microsoft-dynamics-development-new/,Yes,No,Knowledge & Skills
Microsoft Excel 365 - Essentials (New),/products/product-catalog/view/microsoft-excel-365-essentials-new/,Yes,No,"Knowledge & Skills, Simulations"
Microsoft Excel 365 (New),/products/product-catalog/view/microsoft-excel-365-new/,Yes,No,"Knowledge & Skills, Simulations"
Microsoft Outlook 2013 (adaptive),/products/product-catalog/view/microsoft-outlook-2013-adaptive/,Yes,No,Knowledge & Skills
Microsoft PowerPoint 365 - Essentials (New),/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,Yes,No,"Knowledge & Skills, Simulations"
Microsoft SQL Server 2014 Programming,/products/product-catalog/view/microsoft-sql-server-2014-programming/,Yes,No,Knowledge & Skills
Microsoft Windows Server 2012 Administration,/products/product-catalog/view/microsoft-windows-server-2012-administration/,Yes,No,Knowledge & Skills
Microsoft Word 365 - Essentials (New),/products/product-catalog/view/microsoft-word-365-essentials-new/,Yes,No,"Knowledge & Skills, Simulations"
Microsoft Word 365 (New),/products/product-catalog/view/microsoft-word-365-new/,Yes,No,"Simulations, Knowledge & Skills"
Mineral Engineering (New),/products/product-catalog/view/mineral-engineering-new/,Yes,No,Knowledge & Skills
Mining Engineering (New),/products/product-catalog/view/mining-engineering-new/,Yes,No,Knowledge & Skills
Mobility (New),/products/product-catalog/view/mobility-new/,Yes,No,Knowledge & Skills
Molecular Biology (New),/products/product-catalog/view/molecular-biology-new/,Yes,No,Knowledge & Skills
MongoDB (New),/products/product-catalog/view/mongodb-new/,Yes,No,Knowledge & Skills
Motivation Questionnaire MQM5,/products/product-catalog/view/motivation-questionnaire-mqm5/,Yes,No,Personality & Behavior
MQ Candidate Motivation Report,/products/product-catalog/view/mq-candidate-motivation-report/,Yes,No,Personality & Behavior
MQ Employee Motivation Report,/products/product-catalog/view/mq-employee-motivation-report/,Yes,No,Personality & Behavior
MQ Motivation Report Pack,/products/product-catalog/view/mq-motivation-report-pack/,Yes,No,Personality & Behavior
MQ Profile,/products/product-catalog/view/mq-profile/,Yes,No,Personality & Behavior
MS Access (New),/products/product-catalog/view/ms-access-new/,Yes,No,Knowledge & Skills
MS Excel (New),/products/product-catalog/view/ms-excel-new/,Yes,No,Knowledge & Skills
MS Office Basic Computer Literacy (New),/products/product-catalog/view/ms-office-basic-computer-literacy-new/,Yes,No,Knowledge & Skills
MS Office Basic Computer Literacy (Sim) (New),/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,Yes,No,Simulations
MS PowerPoint (New),/products/product-catalog/view/ms-powerpoint-new/,Yes,No,Knowledge & Skills
MS Word (New),/products/product-catalog/view/ms-word-new/,Yes,No,Knowledge & Skills
MuleSoft Development (New),/products/product-catalog/view/mulesoft-development-new/,Yes,No,Knowledge & Skills
Multitasking Ability,/products/product-catalog/view/multitasking-ability/,Yes,No,"Ability & Aptitude, Knowledge & Skills, Simulations"
Networking and Implementation (New),/products/product-catalog/view/networking-and-implementation-new/,Yes,No,Knowledge & Skills
Node.js (New),/products/product-catalog/view/node-js-new/,Yes,No,Knowledge & Skills
Nursing (New),/products/product-catalog/view/nursing-new/,Yes,No,Knowledge & Skills
Occupational Personality Questionnaire OPQ32r,/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,Yes,No,Personality & Behavior
Operations Management (New),/products/product-catalog/view/operations-management-new/,Yes,No,Knowledge & Skills
OPQ Candidate Plus Report,/products/product-catalog/view/opq-candidate-plus-report/,Yes,No,Personality & Behavior
